id,man_id,model_name,is_car,is_moto,is_spec
13961,71,AP1000,False,False,True
13945,71,AP1055,False,False,True
13949,71,AP400,False,False,True
13937,71,AP455,False,False,True
13953,71,AP500,False,False,True
13941,71,AP555,False,False,True
13957,71,AP600,False,False,True
2585,246,Apache,False,True,False
16761,319,Apache  RTR 200,False,True,False
18369,319,APACHE 160cc,False,True,False
4573,348,APACHE 250,False,True,False
4578,348,APACHE SM,False,True,False
4577,348,APACHE SMR,False,True,False
2765,14,Ape 50,False,True,False
3510,285,APEX10,False,True,False
3511,285,APEX125,False,True,False
3512,285,APEX14,False,True,False
10950,758,APG,False,False,True
12162,954,APH,False,False,True
3589,291,APL50QL,False,True,False
12166,954,APN,False,False,True
12170,954,APP,False,False,True
233,9,Applause,True,False,False
12174,954,APR,False,False,True
12911,40,APV,True,False,False
1764,41,Aqua,True,False,False
3040,262,Aquila GV125,False,True,False
3034,262,Aquila GV250,False,True,False
3035,262,Aquila GV650,False,True,False
3321,61,AR 50,False,True,False
4775,355,AR95,False,False,True
213,8,Arcadia,True,False,False
881,31,Arena,True,False,False
280,11,Argenta,True,False,False
1522,92,Aria,True,False,False
5912,119,Arion 460-410,False,False,True
5911,119,Arion 660-510,False,False,True
1080,41,Aristo,True,False,False
9806,30,Ariya,True,False,False
2589,246,Arizona,False,True,False
4007,325,Arlen Ness Jackpot,False,True,False
828,30,Armada,True,False,False
10170,690,Armadora,False,False,True
16,1,Arna,True,False,False
1448,78,Arnage,True,False,False
1016,37,Arosa,True,False,False
6309,42,Arteon,True,False,False
7965,473,AS,True,False,False
5199,131,AS60,False,False,True
412,17,Ascender,True,False,False
7504,39,Ascent,True,False,False
882,31,Ascona,True,False,False
413,17,Aska,True,False,False
1257,48,Aslk 2136 Kombi,True,False,False
1258,48,Aslk 2137 Kombi,True,False,False
1259,48,Aslk 2138,True,False,False
1260,48,Aslk 2140,True,False,False
11446,798,ASM-70i,False,False,True
11454,798,ASM100i,False,False,True
11458,798,ASM101,False,False,True
11450,798,ASM71i,False,False,True
776,29,Aspire,True,False,False
4641,356,ASsailant,False,True,False
124,5,Astra,True,False,False
883,31,Astra,True,False,False
1574,93,Astra,True,False,False
7789,62,Astra,False,False,True
125,5,Astro,True,False,False
4874,363,Astromega,False,False,True
4864,363,Astron TX16,False,False,True
4865,363,Astron TX17,False,False,True
1665,29,ASX,True,False,False
7969,473,AT,True,False,False
528,24,Atenza,True,False,False
2468,229,Athena,False,True,False
3211,61,Athlete,False,True,False
2360,223,Atila 125,False,True,False
8135,515,Atlantis 45,False,True,False
8139,515,Atlantis 51,False,True,False
2180,42,Atlas,True,False,False
4352,30,Atlas,False,False,True
12799,89,Atlas,True,False,False
12226,954,Ato,False,False,True
5879,205,ATOM 22,False,False,True
5878,205,ATOM 26,False,False,True
392,16,Atos,True,False,False
5913,119,Atos 350-220,False,False,True
6998,136,ATP 330,False,True,False
7002,136,ATP 500,False,True,False
234,9,Atrai/extol,True,False,False
1837,4,ATS,True,False,False
6667,4,ATS-V,True,False,False
12983,1003,ATT 27,False,False,True
12999,1003,ATT 280,False,False,True
